ts,ad_id,model_key,price,condition,extras,location,title
2026-09-13T14:51:01+00:00,3511854297,switch,200,neu,0,82131 Gauting,Nintendo Switch mit Zubehör und OVP
2026-09-13T14:51:01+00:00,3511856667,switch,120,gebraucht,0,49577 Ankum,Nintendo Switch
2026-09-13T14:51:01+00:00,3511852802,switch,185,gebraucht,0,07778 Dornburg,"Nintendo Switch, mit Zubehör und Tasche"
2026-09-13T14:51:01+00:00,3511852962,switch,120,gebraucht,0,34246 Vellmar,Nintendo Switch
2026-09-13T14:51:01+00:00,3511853349,switch,175,gebraucht,0,14513 Teltow,Nintendo Switch – Fortnite Edition (limitiert) + viel Zubehör
2026-09-13T14:51:01+00:00,3511790952,switch,160,gebraucht,0,81669 Au-Haidhausen,Nintendo Switch V2 mit Dock und 4 Controllern
2026-09-13T14:51:01+00:00,3511851638,switch,155,gebraucht,0,58515 Lüdenscheid,Nintendo Switch Konplettset
2026-09-13T14:54:17+00:00,3511863133,ps5_pro,1000,neu,0,25782 Tellingstedt,playstation 5 pro
2026-09-13T14:54:17+00:00,3511859328,ps5_disc,450,neu,0,47551 Bedburg-Hau,PS5 + Garantie und Controller  wie Neu
2026-09-13T14:54:17+00:00,3511859290,ps5_disc,450,gebraucht,0,24214 Gettorf,Playstation 5
2026-09-13T14:54:17+00:00,3511858837,ps5_pro,570,gebraucht,0,66663 Merzig,Sony PlayStation 5 Pro + Disc-Laufwerk + PS Portal + DualSense
2026-09-13T14:54:17+00:00,3511858825,ps5_digital,439,gebraucht,0,46149 Oberhausen,PlayStation 5 Digital Edition (825 GB) - Guter Zustand
2026-09-13T14:54:21+00:00,3511862375,switch,240,neu,0,31311 Uetze,Nintendo Switch Konsole mit Zubehör und RingFit Adventure
2026-09-13T14:54:21+00:00,3511863501,switch,170,gebraucht,0,87616 Marktoberdorf,Nintendo Switch Set
2026-09-13T14:54:21+00:00,3511858531,switch,200,gebraucht,0,79798 Jestetten,Nintendo switch 1
2026-09-13T14:54:21+00:00,3511858048,switch,180,neu,0,04425 Taucha,Nintendo Switch Spielekonsole mit original Verpackung *wie neu*
2026-09-13T14:54:21+00:00,3511858137,switch,199,gebraucht,0,79639 Grenzach-Wyhlen,Nintendo Switch
2026-09-13T14:58:05+00:00,3511870233,switch,279,gebraucht,1,63811 Stockstadt a. Main,Nintendo Switch 1 - grau +  3 Spiele & Zubehör
2026-09-13T14:58:05+00:00,3511869818,switch2,450,gebraucht,0,44807 Bochum-Nord,Nintendo Switch 2
2026-09-13T14:58:05+00:00,3511868247,switch,200,gebraucht,0,17291 Prenzlau,Nintendo Switch
2026-09-13T14:58:05+00:00,3511868087,switch2,420,gebraucht,0,44319 Wickede,Nintendo Switch 2 mit Controller
2026-09-13T14:58:05+00:00,3511866905,switch_lite,110,gebraucht,0,88427 Bad Schussenried,Nintendo Switch Lite neuwertig
2026-09-13T14:58:05+00:00,3511865910,switch_lite,90,gebraucht,0,83109 Großkarolinenfeld,Nintendo Switch Lite Grau
2026-09-13T15:01:14+00:00,3511877279,ps5_pro,1049,gebraucht,0,45896 Gelsenkirchen,Sony PlayStation 5 Pro 2TB Konsole
2026-09-13T15:01:14+00:00,3511875479,ps5_disc,350,gebraucht,0,55120 Mainz,Playstation 5 mit 1 controller
2026-09-13T15:01:14+00:00,3511874843,ps5_disc,210,gebraucht,0,17291 Prenzlau,PlayStation 5 Remote Player
2026-09-13T15:01:14+00:00,3511872266,ps5_disc,180,gebraucht,0,68723 Schwetzingen,playstation 5 konsole mit laufwerk und controller
2026-09-13T15:01:14+00:00,3511871765,ps5_pro,830,neu,0,24103 Mitte,PS5 Pro NEU|Garantie|CFI-7121| Playstation 5 Pro
2026-09-13T15:01:14+00:00,3511870647,ps5_disc,200,gebraucht,0,02957 Krauschwitz,Logitech G923 TRUEFORCE Rennlenkrad mit Pedalen (PS5/PS4/PC)
2026-09-13T15:01:14+00:00,3511870124,ps5_disc,270,gebraucht,0,70173 Stuttgart-Mitte,PlayStation 5 Disc Edition 1 TB
2026-09-13T15:01:14+00:00,3511869202,ps5_pro,1089,neu,0,48653 Coesfeld,Sony PlayStation 5 Pro Konsole - 2TB - Neu & OVP
2026-09-13T15:01:14+00:00,3511867599,ps5_slim,500,gebraucht,0,10559 Tiergarten,PlayStation 5 Slim Laufwerk + 1 Controller + Ladestation
2026-09-13T15:01:14+00:00,3511859640,ps5_disc,450,neu,0,31135 Hildesheim,Sony PlayStation 5 Konsole - OVP
2026-09-13T15:01:14+00:00,3511863964,ps5_disc,150,gebraucht,0,10627 Charlottenburg,Sony PlayStation 5 + DualShock Controller
2026-09-13T15:01:14+00:00,3511863715,ps5_slim,550,gebraucht,0,57518 Alsdorf (Westerwald),PlayStation 5 slim mit Laufwerk mit zubehör
2026-09-13T15:01:14+00:00,3511864205,ps5_disc,450,neu,0,31135 Hildesheim,Sony PlayStation 5 Konsole - OVP
2026-09-13T15:01:14+00:00,3511863869,ps5_slim,400,neu,0,25721 Eggstedt,"PlayStation 5 Slim mit Laufwerk, 1 TB, mit 83 Betriebstunden"
2026-09-13T15:01:30+00:00,3511873853,switch_oled,230,neu,0,15859 Storkow (Mark),Nintendo Switch OLED
2026-09-13T15:01:30+00:00,3511873344,switch,199,neu,0,99098 Erfurt,"Nintendo Switch Konsole mit Pro Controller & 256GB SD-Karte, OVP"
2026-09-13T15:01:30+00:00,3511872689,switch_oled,300,gebraucht,0,74842 Billigheim,Nintendo Switch OLED Modell inkl. 256 GB SD-Karte und Tasche
2026-09-13T15:01:30+00:00,3511872970,switch,195,gebraucht,0,41236 Mönchengladbach,Nintendo switch super mario smashbros Limited Edition
2026-09-13T15:01:30+00:00,3511871172,switch,160,neu,0,52134 Herzogenrath,Nintendo Switch Konsole mit OVP
2026-09-13T15:01:34+00:00,3511875735,xbox_series_s,220,neu,0,82418 Murnau am Staffelsee,Xbox Series S Konsole mit Controller und OVP *Neuwertig*
2026-09-13T15:01:34+00:00,3511874429,xbox_series_s,289,gebraucht,0,53127 Ippendorf,Xbox Series S
2026-09-13T15:04:45+00:00,3511882830,ps5_slim,540,neu,0,68159 Mannheim,Sony PlayStation 5 PS5 Slim Disc Edition 1TB - Wie NEU
